item_number,item_code,variable,text_a,text_b,text,required
1,q001,samoal_q001,"Придет время, когда я заживу по-настоящему, не так, как сейчас.","Я уверен, что живу по-настоящему уже сейчас.",Пункт 1,yes
2,q002,samoal_q002,Я очень увлечен своим профессиональным делом.,"Не могу сказать, что мне нравится моя работа и то, чем я занимаюсь.",Пункт 2,yes
3,q003,samoal_q003,"Если незнакомый человек окажет мне услугу, я чувствую себя ему обязанным.","Принимая услугу незнакомого человека, я не чувствую себя обязанным ему.",Пункт 3,yes
4,q004,samoal_q004,Мне бывает трудно разобраться в своих чувствах.,Я всегда могу разобраться в собственных чувствах.,Пункт 4,yes
5,q005,samoal_q005,"Я часто задумываюсь над тем, правильно ли я вел себя в той или иной ситуации.","Я редко задумываюсь над тем, насколько правильно мое поведение.",Пункт 5,yes
6,q006,samoal_q006,"Я внутренне смущаюсь, когда мне говорят комплименты.","Я редко смущаюсь, когда мне говорят комплименты.",Пункт 6,yes
7,q007,samoal_q007,Способность к творчеству - природное свойство человека.,Далеко не все люди одарены способностью к творчеству.,Пункт 7,yes
8,q008,samoal_q008,"У меня не всегда хватает времени на то, чтобы следить за новостями литературы и искусства.","Я прилагаю силы, стараясь следить за новостями литературы и искусства.",Пункт 8,yes
9,q009,samoal_q009,Я часто принимаю рискованные решения.,Мне трудно принимать рискованные решения.,Пункт 9,yes
10,q010,samoal_q010,"Иногда я могу дать собеседнику понять, что он кажется мне глупым и неинтересным.","Я считаю недопустимым дать понять человеку, что он мне кажется глупым и неинтересным.",Пункт 10,yes
11,q011,samoal_q011,"Я люблю оставлять приятное ""на потом"".","Я не оставляю приятное ""на потом"".",Пункт 11,yes
12,q012,samoal_q012,"Я считаю невежливым прерывать разговор, если он интересен только моему собеседнику.","Я могу быстро и непринужденно прервать разговор, интересный только одной стороне.",Пункт 12,yes
13,q013,samoal_q013,Я стремлюсь к достижению внутренней гармонии.,"Состояние внутренней гармонии, скорее всего, недостижимо.",Пункт 13,yes
14,q014,samoal_q014,"Не могу сказать, что я себе нравлюсь.",Я себе нравлюсь.,Пункт 14,yes
15,q015,samoal_q015,"Я думаю, что большинству людей можно доверять.","Думаю, что без крайней необходимости людям доверять не стоит.",Пункт 15,yes
16,q016,samoal_q016,Плохо оплачиваемая работа не может приносить удовлетворения.,"Интересное, творческое содержание работы - само по себе награда.",Пункт 16,yes
17,q017,samoal_q017,Довольно часто мне бывает скучно.,Мне никогда не бывает скучно.,Пункт 17,yes
18,q018,samoal_q018,"Я не стану отступать от своих принципов даже ради полезных дел, которые могли бы рассчитывать на людскую благодарность.","Я бы предпочел отступить от своих принципов ради дел, за которые люди были бы мне благодарны.",Пункт 18,yes
19,q019,samoal_q019,Иногда мне трудно быть искренним.,Мне всегда удается быть искренним.,Пункт 19,yes
20,q020,samoal_q020,"Когда я нравлюсь себе, мне кажется, что я нравлюсь и окружающим.","Даже когда я себе нравлюсь, я понимаю, что есть люди, которым я неприятен.",Пункт 20,yes
21,q021,samoal_q021,Я доверяю своим внезапно возникшим желаниям.,Свои внезапные желания я всегда стараюсь обдумать.,Пункт 21,yes
22,q022,samoal_q022,"Я должен добиваться совершенства во всем, что я делаю.","Я не слишком расстраиваюсь, если мне это не удается.",Пункт 22,yes
23,q023,samoal_q023,Эгоизм - естественное свойство любого человека.,Большинству людей эгоизм не свойственен.,Пункт 23,yes
24,q024,samoal_q024,"Если я не сразу нахожу ответ на вопрос, то могу отложить его на неопределенное время.","Я буду искать ответ на интересующий меня вопрос, не считаясь с затратами времени.",Пункт 24,yes
25,q025,samoal_q025,Я люблю перечитывать понравившиеся мне книги.,"Лучше прочесть новую книгу, чем возвращаться к уже прочитанной.",Пункт 25,yes
26,q026,samoal_q026,"Я стараюсь поступать так, как ожидают окружающие.","Я не склонен задумываться о том, чего ждут от меня окружающие.",Пункт 26,yes
27,q027,samoal_q027,"Прошлое, настоящее и будущее представляются мне единым целым.","Думаю, мое настоящее не очень-то связано с прошлым или будущим.",Пункт 27,yes
28,q028,samoal_q028,"Большая часть того, что я делаю, доставляет мне удовольствие.",Лишь немногие из моих занятий по-настоящему меня радуют.,Пункт 28,yes
29,q029,samoal_q029,"Стремясь разобраться в характере и чувствах окружающих, люди часто бывают бестактными.",Стремление разобраться в окружающих людях вполне естественно и оправдывает некоторую бестактность.,Пункт 29,yes
30,q030,samoal_q030,"Я хорошо знаю, какие чувства я способен испытывать, а какие нет.","Я еще не понял до конца, какие чувства я способен испытывать.",Пункт 30,yes
31,q031,samoal_q031,"Я чувствую угрызения совести, если сержусь на тех, кого люблю.","Я не чувствую угрызений совести, когда сержусь на тех, кого люблю.",Пункт 31,yes
32,q032,samoal_q032,"Человек должен спокойно относиться к тому, что он может услышать о себе от других.","Вполне естественно обидеться, услышав неприятное мнение о себе.",Пункт 32,yes
33,q033,samoal_q033,"Усилия, которых требует познание истины, стоят того, ибо приносят пользу.","Усилия, которых требует познание истины, стоят того, ибо доставляют удовольствие.",Пункт 33,yes
34,q034,samoal_q034,В сложных ситуациях надо действовать испытанными способами - это гарантирует успех.,В сложных ситуациях надо находить принципиально новые решения.,Пункт 34,yes
35,q035,samoal_q035,Люди редко раздражают меня.,Люди часто меня раздражают.,Пункт 35,yes
36,q036,samoal_q036,"Если бы была возможность вернуть прошлое, я бы там многое изменил.",Я доволен своим прошлым и не хочу в нем ничего менять.,Пункт 36,yes
37,q037,samoal_q037,Главное в жизни - приносить пользу и нравиться людям.,Главное в жизни - делать добро и служить истине.,Пункт 37,yes
38,q038,samoal_q038,Иногда я боюсь показаться слишком нежным.,Я никогда не боюсь показаться слишком нежным.,Пункт 38,yes
39,q039,samoal_q039,"Я считаю, что выразить свои чувства обычно важнее, чем обдумывать ситуацию.","Не стоит необдуманно выражать свои чувства, не взвесив ситуацию.",Пункт 39,yes
40,q040,samoal_q040,"Я верю в себя, когда чувствую, что способен справиться с задачами, стоящими передо мной.","Я верю в себя даже тогда, когда неспособен справиться со своими проблемами.",Пункт 40,yes
41,q041,samoal_q041,"Совершая поступки, люди руководствуются взаимными интересами.",По своей природе люди склонны заботиться лишь о собственных интересах.,Пункт 41,yes
42,q042,samoal_q042,Меня интересуют все новшества в моей профессиональной сфере.,Я скептически отношусь к большинству нововведений в своей профессиональной области.,Пункт 42,yes
43,q043,samoal_q043,"Я думаю, что творчество должно приносить пользу людям.","Я полагаю, что творчество должно приносить человеку удовольствие.",Пункт 43,yes
